time,open,high,low,close,tick_volume,spread,real_volume,SMA_10,SMA_50,EMA_10,EMA_50,RSI,Signal
2025-02-19 16:00:00,1.04337,1.04379,1.04273,1.04339,3132,0,0,1.0437530000000002,1.045728,1.0435789070934414,1.045175240965019,39.29888283792644,-1
2025-02-19 17:00:00,1.04341,1.04415,1.04215,1.0424,4130,0,0,1.043432,1.0456276000000002,1.0433645603491792,1.0450664079859986,32.171149756004226,-1
2025-02-19 18:00:00,1.04242,1.04251,1.04044,1.04045,3430,0,0,1.0429289999999998,1.04548,1.042834640285692,1.0448853723787046,19.404912397558604,-1
2025-02-19 19:00:00,1.04044,1.0413000000000001,1.04006,1.04097,2086,2,0,1.042515,1.0453402,1.0424956147792024,1.0447318283638534,24.634142135633894,-1
2025-02-19 20:00:00,1.04097,1.04215,1.04083,1.04194,1848,2,0,1.0423040000000001,1.0452218,1.0423945939102566,1.044622344898604,31.86328063852268,-1
2025-02-19 21:00:00,1.04194,1.04325,1.04179,1.04255,2628,2,0,1.042269,1.0451078,1.042422849562937,1.0445410764712078,33.54838204648074,-1
2025-02-19 22:00:00,1.04253,1.04263,1.04209,1.0425200000000001,1628,2,0,1.042284,1.044994,1.0424405132787666,1.044461818570376,33.91303831758172,-1
2025-02-19 23:00:00,1.04243,1.04262,1.04208,1.04213,676,1,0,1.042253,1.0448734,1.0423840563189908,1.0443703747048712,33.83947425430988,-1
2025-02-20 00:00:00,1.04157,1.04256,1.04143,1.0424,432,13,0,1.042212,1.0447546,1.0423869551700833,1.0442931051086017,40.213516453271644,-1
2025-02-20 01:00:00,1.04249,1.0426,1.04197,1.04209,800,2,0,1.042084,1.0446308,1.0423329633209772,1.044206708829833,44.66402338213021,-1
2025-02-20 02:00:00,1.04209,1.04299,1.04195,1.0429,1542,2,0,1.0420349999999998,1.0445294,1.0424360608989813,1.0441554653463103,53.367207787281444,-1
2025-02-20 03:00:00,1.04289,1.04328,1.04184,1.04213,2118,2,0,1.042008,1.0444024,1.0423804134628027,1.0440760353327296,48.1913573549706,-1
2025-02-20 04:00:00,1.04214,1.04376,1.04201,1.04356,2562,2,0,1.042319,1.0443236,1.0425948837422931,1.0440557986530148,53.89407316181713,-1
2025-02-20 05:00:00,1.04353,1.04361,1.04266,1.04312,1702,2,0,1.042534,1.0442538000000001,1.0426903594255126,1.044019100666622,48.68558694428869,-1
2025-02-20 06:00:00,1.0431300000000001,1.04315,1.04239,1.04303,1248,2,0,1.0426430000000002,1.0441794,1.0427521122572374,1.0439803124051859,48.121078562680935,-1
2025-02-20 07:00:00,1.04304,1.04343,1.04267,1.04273,1501,2,0,1.042661,1.0441082,1.0427480918468306,1.043931280546159,51.856009831449185,-1
2025-02-20 08:00:00,1.04274,1.04344,1.04244,1.04249,1971,2,0,1.0426579999999999,1.044044,1.0427011660564975,1.0438747597404272,64.20611561440481,-1
2025-02-20 09:00:00,1.04253,1.04335,1.04234,1.04317,2607,1,0,1.0427620000000002,1.0439974,1.0427864085916798,1.0438471221035477,64.98636362657831,-1
2025-02-20 10:00:00,1.04315,1.04421,1.04293,1.0433,3620,1,0,1.042852,1.0439408000000001,1.042879788847738,1.0438256663347811,60.461525439054284,-1
2025-02-20 11:00:00,1.0433,1.04385,1.04285,1.04366,2772,1,0,1.043009,1.0438872,1.0430216454208765,1.0438191696157701,58.879986810882066,-1
2025-02-20 12:00:00,1.04367,1.04442,1.0434,1.04424,2660,1,0,1.0431430000000002,1.0438585999999999,1.0432431644352624,1.0438356727680929,62.64704592560711,-1
2025-02-20 13:00:00,1.04425,1.04465,1.04309,1.04382,2601,1,0,1.043312,1.0438072,1.043348043628851,1.0438350581497362,62.37187594134232,-1
2025-02-20 14:00:00,1.04385,1.0444,1.04334,1.04356,3150,0,0,1.0433119999999998,1.0437542,1.043386581150878,1.043824271555629,58.50438681728133,-1
2025-02-20 15:00:00,1.04356,1.0455,1.04348,1.04483,3848,0,0,1.0434829999999997,1.0437256000000001,1.0436490209416274,1.0438637118867808,67.60924233252659,-1
2025-02-20 16:00:00,1.04484,1.04604,1.0442,1.04463,4426,0,0,1.0436429999999999,1.0437078,1.0438273807704224,1.0438937624010247,62.064144087893624,-1
2025-02-20 17:00:00,1.04464,1.04754,1.0441799999999999,1.04739,4605,0,0,1.0441090000000002,1.0437662,1.0444751297212547,1.0440308697578473,78.711778362828,1
2025-02-20 18:00:00,1.04734,1.04783,1.04641,1.04748,3225,0,0,1.0446079999999998,1.0438114,1.0450214697719356,1.0441661297673435,75.06392518037046,1
2025-02-20 19:00:00,1.04747,1.04947,1.0471,1.04891,2877,2,0,1.045182,1.0438568,1.0457284752679472,1.0443521638941142,82.86037275771503,1
2025-02-20 20:00:00,1.04893,1.04985,1.04852,1.04977,2061,2,0,1.045829,1.043939,1.0464632979465023,1.0445646280551293,85.17744057949767,1
2025-02-20 21:00:00,1.04978,1.05033,1.04892,1.05014,2117,2,0,1.0464769999999999,1.0440502,1.0471317892289562,1.044783270092183,88.3937695594532,1
2025-02-20 22:00:00,1.05012,1.05032,1.04951,1.05026,1387,2,0,1.0470789999999999,1.0441676,1.0477005548236915,1.0449980438140583,90.76598876470271,1
2025-02-20 23:00:00,1.0501800000000001,1.05029,1.04996,1.05,736,4,0,1.0476969999999999,1.0442774,1.0481186357648384,1.045194198958605,87.4862653698393,1
2025-02-21 00:00:00,1.04936,1.05007,1.04891,1.04969,814,15,0,1.04831,1.044376,1.0484043383530497,1.0453705048817972,84.3918064425701,1
2025-02-21 01:00:00,1.04978,1.05058,1.04977,1.0500099999999999,1021,2,0,1.0488279999999999,1.0444879999999999,1.0486962768343133,1.0455524458668248,84.32431156172593,1
2025-02-21 02:00:00,1.0500099999999999,1.05003,1.04892,1.04902,1345,2,0,1.049267,1.0445672000000001,1.0487551355917109,1.0456884283818515,74.741189996102,1
2025-02-21 03:00:00,1.04901,1.04932,1.04842,1.04864,1843,2,0,1.0493919999999999,1.044644,1.0487342018477634,1.0458041762884456,75.05196412965329,1
2025-02-21 04:00:00,1.04865,1.05028,1.04863,1.05024,2116,2,0,1.049668,1.0447578,1.0490079833299883,1.045978130159487,80.47444227516358,1
2025-02-21 05:00:00,1.05025,1.05047,1.04993,1.05023,1572,2,0,1.0497999999999998,1.0448694,1.0492301681790814,1.0461448701532328,77.83504031246929,1
2025-02-21 06:00:00,1.05024,1.05049,1.04973,1.04992,914,2,0,1.049815,1.0449642,1.0493555921465212,1.0462929144609492,76.96227240089937,1
2025-02-21 07:00:00,1.04991,1.05008,1.04917,1.0493,1444,2,0,1.049731,1.0450476,1.0493454844835173,1.0464108393840494,62.45109681466222,1
2025-02-21 08:00:00,1.04929,1.04942,1.04877,1.04888,1835,2,0,1.0495930000000002,1.0451206,1.0492608509410595,1.046507669212126,58.74998971875245,1
2025-02-21 09:00:00,1.0489,1.04998,1.0489,1.04923,2685,1,0,1.0495160000000001,1.0451929999999998,1.0492552416790486,1.0466144272822386,52.312128144945945,1
2025-02-21 10:00:00,1.04924,1.04944,1.04678,1.0477,4781,1,0,1.0493169999999998,1.0452374,1.0489724704646761,1.0466569987613665,36.363629656246964,1
2025-02-21 11:00:00,1.04772,1.04813,1.04665,1.04689,3359,1,0,1.049005,1.045273,1.0485938394710987,1.0466661360648424,29.763382108500807,1
2025-02-21 12:00:00,1.0469,1.04722,1.04648,1.04649,2618,1,0,1.0487520000000001,1.0453218,1.048211323203626,1.0466592287681817,27.316481559196646,1
2025-02-21 13:00:00,1.04648,1.04742,1.04631,1.0469,2325,1,0,1.048578,1.0454018,1.0479729008029668,1.0466686707772725,31.678481755333664,1
2025-02-21 14:00:00,1.04691,1.04713,1.04593,1.04617,2434,0,0,1.048171,1.0454778,1.0476451006569727,1.0466491150605168,30.1801754220446,1
2025-02-21 15:00:00,1.04621,1.04781,1.04612,1.04751,2879,0,0,1.0478990000000001,1.0455792,1.0476205369011593,1.046682875254222,37.373732088563436,1
2025-02-21 16:00:00,1.0475,1.04924,1.04701,1.04811,4330,0,0,1.0477180000000001,1.0456852,1.0477095301918575,1.0467388409305272,45.21555590938224,1
2025-02-21 17:00:00,1.04806,1.04862,1.04525,1.04542,4933,0,0,1.04733,1.0457262,1.047293251975156,1.0466871216783498,36.37901430367049,1
2025-02-21 18:00:00,1.04542,1.04577,1.04492,1.04548,2928,0,0,1.0469899999999999,1.0457679999999998,1.046963569797855,1.0466397835733163,26.848245370861704,1
2025-02-21 19:00:00,1.04548,1.04643,1.04523,1.04628,2476,2,0,1.0466950000000002,1.0458456,1.0468392843800631,1.0466256744135785,32.15898418947006,1
2025-02-21 20:00:00,1.04628,1.0468,1.04507,1.04596,3103,2,0,1.046521,1.0459558,1.046679414492779,1.0465995695346146,32.1299598391756,1
2025-02-21 21:00:00,1.04595,1.04666,1.04572,1.04622,2311,2,0,1.046454,1.0460608,1.046595884585001,1.0465846844548259,35.63432370447316,1
2025-02-21 22:00:00,1.04619,1.04644,1.0457,1.04608,1825,2,0,1.0464129999999998,1.0461436,1.046502087387728,1.0465648929075777,36.59003340746671,1
2025-02-21 23:00:00,1.04601,1.04614,1.04495,1.04571,973,0,0,1.046294,1.0462068,1.0463580714990501,1.046531367695516,33.173991735794274,1
2025-02-24 00:00:00,1.04684,1.04832,1.04568,1.04737,1512,13,0,1.046414,1.0463037999999998,1.0465420584992227,1.0465642552368681,48.441919941577375,1
2025-02-24 01:00:00,1.04743,1.04846,1.04711,1.0474,1711,2,0,1.046403,1.0464092,1.0466980478630004,1.0465970295413047,52.599380872667275,-1
2025-02-24 02:00:00,1.04741,1.05073,1.04718,1.05039,2819,2,0,1.046631,1.0465689999999999,1.0473693118879093,1.0467457734808614,65.725799030958,1
2025-02-24 03:00:00,1.05039,1.05208,1.05026,1.05177,3662,2,0,1.047266,1.0467626,1.0481694369991985,1.046942801971808,68.21240871373445,1
2025-02-24 04:00:00,1.05177,1.05283,1.05154,1.05226,2983,2,0,1.047944,1.0469498,1.0489131757266168,1.047151319541541,73.19115746628856,1
